,ticker,quarter,net_income,total_assets,total_debt,cash,shareholder_equity,shares_outstanding,stock_price,roa,log_assets,leverage,liquidity,market_cap,pb_ratio,btc_price,log_btc_price,hashrate,log_hashrate
1157,ANY,2013q4,-606313.15,8355036.0,0.0,5217000.0,7432048.0,12328.0,5804.4,-0.07256858617964064,15.938375028799475,0.0,0.6244138265831529,71556643.19999999,9.6281190864214,723.98,6.584763767694766,9627.45771349828,9.17237447341749
1158,ANY,2013q3,-454315.71,3776511.0,0.0,1352007.0,3110924.0,12277.0,12600.0,-0.12030038043050849,15.144311125481298,0.0,0.3580042531320576,154690200.0,49.7248405939843,124.65,4.825509809969567,1302.02028851433,7.171672405223398
1159,ANY,2013q2,-536503.0,1807018.0,0.0,469344.0,1658270.0,11510.0,12600.0,-0.29689964350106085,14.407188530786513,0.0,0.2597339926885067,145026000.0,87.45620435755336,104.0,4.6443908991413725,159.585717364126,5.07258119081151
1160,ANY,2013q1,-634219.86,2511340.0,0.0,1035788.0,2243373.0,11510.0,12600.0,-0.25254241162088764,14.736327033194824,0.0,0.4124443524174345,145026000.0,64.64640521215152,92.5,4.52720864451838,52.2576587944602,3.9561864599014327
1161,ANY,2012q4,-1058150.0,3221187.0,0.0,1638659.0,2916981.0,5336.0,12600.0,-0.3284969174406826,14.985260483132313,0.0,0.5087127819651576,67233600.0,23.049035972466054,13.65,2.613739521630969,19.8478843099254,2.9880974175698825
1176,WULF,2025q3,-455050000.0,2454445000.0,1085265000.0,711315000.0,247341000.0,401559291.0,5.16,-0.18539832833899314,21.621166503388956,0.44216309593411135,0.2898068606141103,2072045941.56,8.377284564871978,109688.85,11.60540300025889,1167521713.2756777,20.878149145429184
1177,WULF,2025q2,-18370000.0,869408000.0,500879000.0,89993000.0,174332000.0,386895095.0,2.78,-0.02112932018108874,20.58332307822496,0.5761150115940962,0.10351066472818285,1075568364.1,6.1696553937315,107110.33,11.581614703698753,911172262.800523,20.630242529335998
1178,WULF,2025q1,-61418000.0,841162000.0,491848000.0,218162000.0,170375000.0,383149511.0,4.77,-0.0730156616680259,20.550294827210884,0.5847244644907877,0.25935788825458117,1827623167.4699998,10.727061878033748,87187.77,11.375819347767221,870857131.0489082,20.584988492716118
1179,WULF,2024q4,-29196000.0,787511000.0,491248000.0,274065000.0,244445000.0,385654278.0,6.52,-0.037073767858480704,20.484387896820476,0.6237982707543133,0.34801418646850646,2514465892.56,10.28642800040909,93536.42,11.446106158150634,867710155.9849901,20.581368295184088
1180,WULF,2024q3,-22733000.0,405905000.0,912000.0,23938000.0,372631000.0,382086768.0,4.16,-0.05600571562311378,19.821629700038258,0.0022468311550732315,0.05897439055936734,1589480954.88,4.265562862134391,65888.5,11.095719198433983,681164035.1378452,20.339313709025863
1181,WULF,2024q2,-10876000.0,479568000.0,73264000.0,104109000.0,386241000.0,340662826.0,2.17,-0.02267874420311614,19.988396256623048,0.15277082707770326,0.21708913021719548,739238332.42,1.9139302467112502,60315.67,11.007347216285627,653044616.4527341,20.297156010255385
1182,WULF,2024q1,-9613000.0,395388000.0,100342000.0,45824000.0,272343000.0,290602725.0,1.67,-0.024312826894088844,19.795378119226594,0.2537810960373102,0.1158962841563224,485306550.75,1.7819681458675274,70754.69,11.166974103061065,595046224.9834774,20.204149649540128
1183,WULF,2023q4,-10525000.0,378106000.0,124468000.0,54439000.0,222489000.0,276733329.0,1.11,-0.02783610945078893,19.750685137553027,0.3291881112703845,0.14397814369515427,307173995.19,1.3806255373973544,43470.76,10.679843807151837,433112839.72926086,19.886508851853154
1184,WULF,2023q3,-19099000.0,311793000.0,125887000.0,6595000.0,153934000.0,221718367.0,2.92,-0.061255384181171484,19.557850064047294,0.4037518481813254,0.021151853954386405,647417631.64,4.205813086387672,26212.82,10.17400388305173,445792739.99081457,19.915364693433087
1185,WULF,2023q2,-17540000.0,299822000.0,120249000.0,8241000.0,134818000.0,210421237.0,1.78,-0.05850137748397383,19.518699523195263,0.40106796699374964,0.027486308543068886,374549801.86,2.778188386268896,30266.7,10.317803377242255,364329624.47866035,19.713569577581897
1186,WULF,2023q1,-26257000.0,316781000.0,114390000.0,16985000.0,146313000.0,165015228.0,0.9773,-0.08288691556627449,19.573721241358513,0.3611012024079727,0.05361748337179313,161269382.32439998,1.1022218280289515,28033.06,10.24113980694813,328332326.2625294,19.609536843242825
1187,WULF,2022q4,-23942000.0,317687000.0,129310000.0,1279000.0,117754000.0,131335640.0,1.14,-0.07536348670232021,19.57657717929646,0.40703585604698966,0.004025975252371044,149722629.6,1.2714865703075904,16539.28,9.713493436795847,247871972.40675086,19.328422930535996
1188,WULF,2022q3,-33988000.0,309866000.0,129056000.0,4466000.0,121843000.0,108839269.0,1.44,-0.10968612238838724,19.551650503928503,0.4164897084546223,0.01441268161076078,156728547.35999998,1.2863155647841893,19104.89,9.857699602209362,234283743.87934902,19.272043519420766
1189,WULF,2022q2,-13669000.0,319136000.0,118139999.0,921000.0,135017000.0,104119328.0,3.79,-0.042831269427454126,19.58112790218373,0.37018700177980546,0.002885916975834754,394612253.12,2.9226856849137515,20702.23,9.937996702919657,214611394.16241816,19.18433948163684
1190,WULF,2022q1,-18183000.0,272838000.0,101868000.0,3585000.0,121008000.0,100121370.0,11.68,-0.06664394255932092,19.42438877042045,0.37336441404789655,0.013139665295889868,1169417601.6,9.663969337564458,46858.53,10.754888341531325,216984358.7631026,19.19533582947418
1191,WULF,2021q4,-44699000.0,264911000.0,95619000.0,43448000.0,123179000.0,99976253.0,21.3511,-0.1687321402282276,19.39490447848397,0.36094763901838733,0.16400979951757383,2134602975.4283,17.329276706486496,46408.87,10.745245883737981,143583516.00506175,18.782427416938297
1193,WULF,2021q2,-4407000.0,78824000.0,1085000.0,31721000.0,23859000.0,99976253.0,7.8873,-0.05590936770526743,18.182728076984446,0.013764843194966,0.40242819445854056,788542700.2868999,33.050115272513516,34456.67,10.447457871634283,89177797.47926754,18.306142659384605
1194,WULF,2021q1,-321639.0,15635977.0,2654019.0,4428269.0,11561585.0,60000000.0,7.8632,-0.020570444686635186,16.56508503492946,0.1697379703231848,0.28321025286747353,471792000.0,40.806861688946626,55783.71,10.929237170264072,164128360.68598944,18.91615936675834
1195,WULF,2020q4,1463185.0,15435399.0,2688396.0,3693845.0,11839346.0,1976354.0,3.6668,0.09479411578540989,16.55217406592442,0.1741708134658521,0.23930997831672507,7246894.8472,0.6121026319528122,28856.59,10.270093668728663,153482070.38176647,18.84909431283874
1196,WULF,2020q3,-273996.0,15274076.0,3936579.0,3500883.0,10364331.0,1976354.0,2.8484,-0.017938630133829372,16.541667570193916,0.25772943646476554,0.2292042412254594,5629446.7336,0.54315582294699,10840.8,9.291072073008504,149781337.3136051,18.82468703726483
1197,WULF,2020q2,-1041503.0,15448604.0,3969871.0,2978109.0,10635565.0,1976354.0,2.8885,-0.0674172889666924,16.553029201238626,0.25697279831886427,0.19277528247859807,5708698.529,0.5367555488589464,9185.35,9.125365102530195,115344676.145677,18.56343538760194
1198,WULF,2020q1,-587006.0,15643952.0,2788628.0,1605440.0,11673380.0,1976354.0,4.3007,-0.0375228714585675,16.56559494658385,0.17825598033028994,0.10262368485917113,8499705.6478,0.7281272131807583,5885.41,8.680231685916738,101664512.290166,18.437188855090522
1199,WULF,2019q4,-80072.0,16879541.0,2821644.0,963649.0,12256698.0,1980253.0,4.9105,-0.004743730886995091,16.64161285481925,0.16716355024108773,0.057089763282070285,9724032.3565,0.7933647672888734,7301.07,8.895776191737832,99770100.8933494,18.41837910614857
1200,WULF,2019q3,-162744.0,17162234.0,2854521.0,758739.0,12334278.0,1978926.0,5.737,-0.00948268156698015,16.65822183003075,0.1663257242617715,0.04420980392179713,11353098.462,0.9204509953480859,8193.9,9.011145253980601,100852756.01995,18.42917214990334
