ticker,fiscal quarter,fiscal date,net income,total assets,roa,roa percent
RIOT,2014q1,2014-03-31,-2947649.0,17124030.0,-0.1721352391931105,-17.21
RIOT,2013q4,2013-12-31,-3129777.0,18639869.0,-0.1679076714541287,-16.79
RIOT,2013q3,2013-09-30,-3072090.0,21781887.0,-0.1410387447148174,-14.1
RIOT,2013q2,2013-06-30,-3144619.0,24100827.0,-0.1304776387963782,-13.05
RIOT,2013q1,2013-03-31,-2802169.0,13594152.0,-0.20613047433926,-20.61
RIOT,2012q4,2012-12-31,-2504098.0,16614791.0,-0.1507149864238436,-15.07
RIOT,2012q3,2012-09-30,-2460087.0,14823696.0,-0.1659563849663403,-16.6
RIOT,2012q2,2012-06-30,-2309759.0,15521909.0,-0.148806374267495,-14.88
RIOT,2012q1,2012-03-31,-1938271.0,6366610.0,-0.3044431809078929,-30.44
RIOT,2011q4,2011-12-31,-1557225.0,8727845.0,-0.1784203317084572,-17.84
RIOT,2011q3,2011-09-30,-3063450.0,9965366.0,-0.307409682695046,-30.74
RIOT,2011q2,2011-06-30,-2787292.0,12025856.0,-0.2317749356054155,-23.18
RIOT,2011q1,2011-03-31,-2805834.0,14606773.0,-0.1920912990158743,-19.21
RIOT,2010q4,2010-12-31,-2991983.0,17159105.0,-0.1743670780031942,-17.44
RIOT,2010q3,2010-09-30,-3052050.0,19437867.0,-0.1570156848999944,-15.7
RIOT,2010q2,2010-06-30,-3422250.0,21891601.0,-0.1563270772201631,-15.63
RIOT,2010q1,2010-03-31,-3871436.0,16182306.0,-0.2392388328338371,-23.92
RIOT,2009q4,2009-12-31,-5186973.0,19378111.0,-0.2676717560344246,-26.77
RIOT,2009q3,2009-09-30,-3830389.0,15708147.0,-0.2438472851062572,-24.38
RIOT,2009q2,2009-06-30,-3779445.0,18448734.0,-0.2048620246787665,-20.49
RIOT,2009q1,2009-03-31,-2720758.0,21836827.0,-0.1245949331374929,-12.46
RIOT,2008q4,2008-12-31,-2445065.0,24186678.0,-0.1010913941964249,-10.11
RIOT,2008q3,2008-09-30,-2736294.0,26291737.0,-0.1040742952814414,-10.41
RIOT,2008q2,2008-06-30,-2750672.0,29090582.0,-0.0945554131574266,-9.46
RIOT,2008q1,2008-03-31,-1636288.0,30274442.0,-0.0540484941060185,-5.4
RIOT,2007q4,2007-12-31,-2106349.0,31661972.0,-0.0665261468868711,-6.65
RIOT,2007q3,2007-09-30,-2142025.0,15874666.0,-0.1349335475782608,-13.49
RIOT,2007q2,2007-06-30,-1083788.0,16576753.0,-0.06537999329543,-6.54
RIOT,2007q1,2007-03-31,-868364.0,12102530.0,-0.0717506174328838,-7.18
RIOT,2006q4,2006-12-31,-895209.0,8748197.0,-0.1023306859687773,-10.23
RIOT,2006q3,2006-09-30,-812191.0,7331431.0,-0.1107820560542682,-11.08
RIOT,2006q2,2006-06-30,-750432.0,7882383.0,-0.0952036966485896,-9.52
RIOT,2006q1,2006-03-31,-650999.0,6538048.0,-0.0995708505046154,-9.96
RIOT,2005q4,2005-12-31,-691042.0,7087638.0,-0.0974996183495827,-9.75
RIOT,2005q3,2005-09-30,-602762.0,7362423.0,-0.0818700582675024,-8.19
SAIH,2022q4,2022-12-31,-4651344.0,21100000.0,-0.2204428436018957,-22.04
SAIH,2022q2,2022-06-30,-4193656.0,26472000.0,-0.1584185554548202,-15.84
SAIH,2022q1,2022-03-31,-632172.0,45002805.0,-0.0140473910459581,-1.4
SAIH,2021q4,2021-12-31,-1344701.0,11533000.0,-0.1165959420792508,-11.66
SAIH,2021q3,2021-09-30,-551845.0,45095606.0,-0.0122372232895595,-1.22
SAIH,2021q2,2021-06-30,-22549.0,13182000.0,-0.0017105901987558,-0.17
SAIH,2021q1,2021-03-31,-4510.0,312758.0,-0.014420094769758,-1.44
SLAI,2025q3,2025-09-30,-2482000.0,76573000.0,-0.0324135139017669,-3.24
SLAI,2024q4,2024-12-31,-2125000.0,86335000.0,-0.0246134244512654,-2.46
SLNH,2025q3,2025-09-30,-23956000.0,152035000.0,-0.1575689808267833,-15.76
SLNH,2025q2,2025-06-30,-7382000.0,91952000.0,-0.080281016182356,-8.03
SLNH,2025q1,2025-03-31,-7556000.0,90049000.0,-0.0839098712922964,-8.39
SLNH,2024q4,2024-12-31,-40017000.0,88040000.0,-0.4545320308950477,-45.45
SLNH,2024q3,2024-09-30,-7190000.0,97349000.0,-0.0738579749149965,-7.39
SLNH,2024q2,2024-06-30,-10873000.0,98675000.0,-0.1101900177349886,-11.02
SLNH,2024q1,2024-03-31,-5254000.0,90637000.0,-0.057967496717676,-5.8
SLNH,2023q3,2023-09-30,-6662000.0,94087000.0,-0.0708068064663556,-7.08
SLNH,2023q2,2023-06-30,-8775000.0,96647000.0,-0.0907943340196798,-9.08
SLNH,2023q1,2023-03-31,-7062000.0,84241000.0,-0.0838309136881091,-8.38
SLNH,2022q4,2022-12-31,-27637000.0,84961000.0,-0.3252904273725592,-32.53
SLNH,2022q3,2022-09-30,-55892000.0,109733000.0,-0.5093454111342987,-50.93
SLNH,2022q2,2022-06-30,-6557000.0,147919000.0,-0.0443283148209493,-4.43
SLNH,2022q1,2022-03-31,-8906000.0,136337000.0,-0.0653234265093114,-6.53
SLNH,2021q4,2021-12-31,-2809000.0,117694000.0,-0.0238669770761466,-2.39
SLNH,2021q3,2021-09-30,-610000.0,46608000.0,-0.0130878819086852,-1.31
SLNH,2021q2,2021-06-30,-1174000.0,25559000.0,-0.0459329394733753,-4.59
